,NOSE_x,NOSE_y,LEFT_SHOULDER_x,LEFT_SHOULDER_y,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,LEFT_ELBOW_x,LEFT_ELBOW_y,RIGHT_ELBOW_x,RIGHT_ELBOW_y,LEFT_WRIST_x,LEFT_WRIST_y,RIGHT_WRIST_x,RIGHT_WRIST_y,LEFT_INDEX_x,LEFT_INDEX_y,RIGHT_INDEX_x,RIGHT_INDEX_y,LEFT_HIP_x,LEFT_HIP_y,RIGHT_HIP_x,RIGHT_HIP_y,LEFT_KNEE_x,LEFT_KNEE_y,RIGHT_KNEE_x,RIGHT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,CENTER_HIP_x,CENTER_HIP_y,CENTER_SHOULDER_x,CENTER_SHOULDER_y,Angle_upper_arms,Angle_elbow_L,Angle_elbow_R,Angle_thighs,Angle_knee_L,Angle_knee_R,Angle_shoulder_L,Angle_shoulder_R,Angle_hip_L,Angle_hip_R,width,height,pose_num
0,1589.38,1370.77,1793.95,1310.91,1786.62,1731.39,1805.85,1012.54,1776.60,2062.86,1778.22,715.51,1727.70,2364.44,1761.52,617.47,1694.14,2453.85,2411.77,1380.54,2366.87,1578.59,2913.98,1415.45,2380.98,2035.24,3379.55,1443.17,2334.87,2534.42,3502.44,1422.20,2150.48,2633.84,2389.32,1479.57,1790.29,1521.15,179.45,7.60,7.48,84.25,0.57,7.05,83.75,95.70,7.95,92.20,4496,3000,0
1,1629.62,654.00,1494.16,806.80,1525.09,596.89,1490.09,943.40,1503.74,452.75,1489.79,1089.12,1524.45,303.22,1508.89,1125.58,1546.96,256.67,1242.96,667.36,1240.00,550.27,1217.54,863.82,990.81,540.13,1230.68,1091.31,781.30,524.51,1322.90,1127.86,706.31,519.18,1241.48,608.81,1509.63,701.85,169.87,1.59,16.31,84.96,10.67,1.93,107.43,62.44,101.76,16.80,2400,1350,0
2,581.32,607.65,702.21,549.52,711.01,770.38,720.43,372.66,719.98,956.67,724.72,216.15,716.05,1119.25,722.04,163.88,705.62,1170.13,1025.55,512.39,1016.44,632.03,1318.25,517.59,1037.22,885.59,1577.96,512.25,1009.99,1145.82,1696.94,513.53,911.49,1207.09,1020.99,572.21,706.61,659.95,171.36,4.31,4.14,84.30,2.20,10.66,68.53,102.83,16.61,100.91,2000,1334,0
3,183.60,492.73,241.68,443.16,250.24,566.01,261.24,349.26,257.15,662.37,255.47,253.72,234.07,759.63,248.37,222.14,216.32,785.17,421.40,422.67,413.59,485.34,566.31,380.61,432.50,626.48,698.10,349.73,428.22,766.07,770.38,363.19,371.89,804.23,417.49,454.01,245.96,504.59,164.13,15.23,17.45,98.55,3.00,9.39,61.80,102.33,0.25,98.80,910,910,0
4,75.79,80.09,93.94,71.82,95.85,103.72,95.77,49.40,97.87,127.82,91.30,30.07,96.54,150.42,89.52,23.54,94.43,156.84,139.16,67.75,138.83,85.48,173.73,56.45,143.25,119.22,205.21,44.87,142.46,154.41,218.17,38.81,127.17,162.97,138.99,76.62,94.89,87.77,170.54,17.67,8.18,100.64,2.11,8.74,71.14,99.40,3.90,96.74,283,178,0
5,185.79,99.85,172.66,123.65,177.72,86.32,173.33,154.40,175.86,56.88,180.50,179.36,181.49,30.86,184.19,185.26,184.71,22.17,122.26,93.70,123.85,75.82,119.27,136.68,83.26,60.54,113.80,178.48,46.23,44.15,129.11,188.27,33.77,38.74,123.06,84.76,175.19,104.99,177.63,14.78,15.81,106.63,3.46,3.26,112.45,65.18,107.21,0.58,254,198,0
6,65.12,92.62,79.35,81.22,85.77,113.61,82.41,53.53,92.61,139.20,75.34,27.82,94.25,164.10,72.34,19.06,89.84,170.26,131.82,76.49,129.50,94.76,174.84,76.78,131.78,131.49,212.97,79.31,132.30,170.91,226.49,78.53,115.20,179.58,130.66,85.62,82.56,97.42,158.74,21.65,11.20,86.06,3.42,2.79,69.94,88.80,14.16,100.22,254,199,0
7,211.66,68.22,204.82,82.42,193.02,60.45,223.78,90.58,186.19,38.36,243.70,91.32,182.38,16.85,249.90,90.14,182.17,8.50,157.37,92.01,149.60,76.82,159.09,123.07,113.65,74.42,163.82,156.86,81.59,73.00,176.14,164.45,71.03,68.55,153.49,84.42,198.92,71.44,130.46,21.16,7.14,96.99,4.80,1.27,140.78,88.75,77.23,19.76,300,168,0
8,202.26,107.53,184.76,109.80,189.92,86.21,180.43,131.22,190.68,64.83,181.36,152.10,194.60,44.94,183.08,158.19,198.84,39.35,152.70,95.14,151.28,84.53,156.01,126.42,117.13,82.61,152.66,157.74,86.61,78.56,162.92,164.59,76.17,80.56,151.99,89.83,187.34,98.01,170.60,13.98,9.12,99.25,12.14,4.35,91.60,79.01,109.05,9.80,275,183,0
9,96.28,83.15,110.38,69.08,110.83,103.53,113.22,47.03,106.69,134.73,113.45,25.59,99.59,161.30,112.95,17.33,95.19,168.40,160.29,67.55,156.00,86.43,201.47,57.31,157.59,126.24,235.41,48.50,158.18,169.69,254.97,45.88,144.63,181.75,158.14,76.99,110.60,86.30,179.77,6.72,7.38,101.67,0.59,1.52,71.58,108.65,2.88,98.80,270,187,0
